iter	Passed	Remaining
0	3	318
1	6	303
2	8	284
3	11	264
4	13	261
5	16	257
6	19	258
7	22	260
8	25	256
9	28	252
10	30	248
11	33	245
12	35	240
13	38	237
14	41	233
15	44	231
16	46	227
17	49	224
18	52	222
19	54	219
20	57	216
21	60	213
22	63	212
23	66	210
24	69	208
25	71	204
26	74	201
27	77	198
28	80	195
29	83	193
30	85	190
31	88	187
32	91	185
33	94	182
34	96	180
35	99	177
36	102	174
37	105	171
38	108	168
39	111	166
40	113	163
41	114	158
42	117	155
43	120	153
44	122	150
45	125	147
46	128	144
47	130	141
48	134	139
49	137	137
50	139	134
51	142	131
52	145	128
53	148	126
54	149	122
55	152	119
56	155	117
57	157	114
58	160	111
59	163	108
60	165	105
61	168	103
62	170	100
63	173	97
64	176	94
65	179	92
66	181	89
67	184	86
68	187	84
69	189	81
70	192	78
71	195	75
72	197	73
73	200	70
74	203	67
75	205	65
76	208	62
77	211	59
78	213	56
79	216	54
80	219	51
81	222	48
82	224	46
83	227	43
84	229	40
85	232	37
86	235	35
87	238	32
88	240	29
89	243	27
90	246	24
91	248	21
92	251	18
93	254	16
94	256	13
95	259	10
96	262	8
97	265	5
98	267	2
99	270	0
