iter	Passed	Remaining
0	150	150541
1	153	76405
2	155	51809
3	158	39464
4	162	32243
5	164	27225
6	165	23543
7	167	20776
8	168	18588
9	169	16817
10	171	15377
11	172	14165
12	173	13139
13	174	12256
14	175	11498
15	176	10841
16	177	10238
17	177	9691
18	178	9202
19	178	8763
20	179	8367
21	180	8006
22	180	7676
23	181	7373
24	181	7094
25	182	6835
26	183	6595
27	183	6372
28	184	6164
29	184	5969
30	185	5788
31	185	5618
32	186	5458
33	186	5308
34	187	5167
35	187	5034
36	188	4909
37	189	4793
38	190	4683
39	190	4577
40	191	4477
41	192	4382
42	192	4291
43	193	4203
44	194	4119
45	194	4038
46	195	3959
47	195	3884
48	196	3813
49	197	3744
50	197	3677
51	198	3613
52	198	3550
53	199	3490
54	199	3432
55	200	3376
56	200	3322
57	201	3270
58	201	3220
59	202	3172
60	203	3127
61	204	3086
62	204	3044
63	205	3002
64	205	2961
65	206	2921
66	207	2882
67	207	2845
68	208	2808
69	208	2773
70	209	2738
71	209	2704
72	210	2671
73	210	2640
74	211	2609
75	212	2579
76	212	2550
77	213	2521
78	213	2493
79	214	2466
80	215	2439
81	215	2413
82	215	2385
83	216	2360
84	217	2336
85	217	2314
86	218	2292
87	219	2271
88	219	2250
89	220	2228
90	220	2207
91	221	2186
92	222	2166
93	222	2146
94	223	2126
95	223	2107
96	224	2089
97	224	2070
98	225	2052
99	226	2035
100	226	2017
101	227	2000
102	227	1983
103	228	1967
104	228	1951
105	229	1935
106	230	1919
107	230	1904
108	231	1889
109	231	1874
110	232	1860
111	232	1846
112	233	1833
113	234	1822
114	235	1809
115	235	1796
116	236	1782
117	236	1769
118	237	1756
119	237	1744
120	238	1732
121	238	1719
122	239	1708
123	240	1696
124	240	1684
125	241	1673
126	241	1661
127	242	1650
128	242	1640
129	243	1629
130	244	1618
131	244	1608
132	245	1598
133	245	1588
134	246	1578
135	246	1568
136	247	1558
137	248	1549
138	248	1540
139	249	1532
140	250	1524
141	250	1514
142	251	1505
143	251	1496
